Année;Perimètre juridique;Perimètre spatial;Spatial perimeter;Indicateur;Indicator;Type de contrat;Type of contract;Collège;Employee category;Plage M3E;M3E classification;Genre;Gender;Valeur;Unité;Unit;Chapitre du bilan social
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDD;Fixed-term non-statutory;Cadre;Managers;;;Homme;Male;3322.0;€;€;§2.1.2
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDD;Fixed-term non-statutory;Cadre;Managers;;;Femme;Female;3493.0;€;€;§2.1.2
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDD;Fixed-term non-statutory;Maitrise;Supervisors;;;Homme;Male;1401.0;€;€;§2.1.2
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;D;D;Homme;Male;5676.0;€;€;§2.1.2.bis
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;F;F;Homme;Male;4446.0;€;€;§2.1.2.bis
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDI;Permanent non-statutory;;;sans plage;No classification;Homme;Male;11704.0;€;€;§2.1.2.bis
2022;EDF SA;France;France;Promotions dans un collège supérieur;Promotions to a Higher Employee Category;Statutaire;Statutory;Exécution vers Maîtrise;Operative to Supervisor;;;Femme;Female;104.0;nombre;number;§1.5.1
2022;EDF SA;France;France;Promotions dans un collège supérieur;Promotions to a Higher Employee Category;Non statutaire CDI;Permanent non-staturory;Exécution vers Maîtrise;Operative to Supervisor;;;Femme;Female;0.0;nombre;number;§1.5.1
2022;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Statutaire;Statutory;Cadre;Managers;;;Femme;Female;677.0;M€;M€;§2.1.1
2022;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Statutaire;Statutory;Execution;Operatives;;;Homme;Male;88.0;M€;M€;§2.1.1
2022;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Statutaire;Statutory;Execution;Operatives;;;Femme;Female;34.0;M€;M€;§2.1.1
2022;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Non statutaire CDI;Permanent non-statutory;Cadre;Managers;;;Homme;Male;55.0;M€;M€;§2.1.1
2022;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Non statutaire CDD;Fixed-term non-statutory;Execution;Operatives;;;Femme;Female;8.0;M€;M€;§2.1.1
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;Cadre;Managers;;;Femme;Female;6681.0;€;€;§2.1.2
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDI;Permanent non-statutory;Cadre;Managers;;;Homme;Male;11873.0;€;€;§2.1.2
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDD;Fixed-term non-statutory;Execution;Operatives;;;Femme;Female;1190.0;€;€;§2.1.2
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;A;A;Femme;Female;9518.0;€;€;§2.1.2.bis
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;C;C;Homme;Male;6517.0;€;€;§2.1.2.bis
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;C;C;Femme;Female;5968.0;€;€;§2.1.2.bis
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;E;E;Femme;Female;4554.0;€;€;§2.1.2.bis
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;F;F;Femme;Female;4044.0;€;€;§2.1.2.bis
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;I;I;Homme;Male;0.0;€;€;§2.1.2.bis
2022;EDF SA;France;France;Promotions dans un collège supérieur;Promotions to a Higher Employee Category;Non statutaire CDI;Permanent non-staturory;Exécution vers Maîtrise;Operative to Supervisor;;;Homme;Male;0.0;nombre;number;§1.5.1
2022;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Non statutaire CDD;Fixed-term non-statutory;Maitrise;Supervisors;;;Femme;Female;16.0;M€;M€;§2.1.1
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;A;A;Homme;Male;10459.0;€;€;§2.1.2.bis
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;D;D;Femme;Female;4965.0;€;€;§2.1.2.bis
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;E;E;Homme;Male;5263.0;€;€;§2.1.2.bis
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;G;G;Homme;Male;4218.0;€;€;§2.1.2.bis
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;sans plage;No classification;Homme;Male;8284.0;€;€;§2.1.2.bis
2022;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDD;Fixed-term non-statutory;;;sans plage;No classification;Femme;Female;1435.0;€;€;§2.1.2.bis
2021;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Non statutaire CDI;Permanent non-statutory;Cadre;Managers;;;Femme;Female;29.0;M€;M€;§2.1.1
2021;EDF SA;France;France;Masse salariale annuelle;Annual Payroll;Non statutaire CDD;Fixed-term non-statutory;Cadre;Managers;;;Homme;Male;5.0;M€;M€;§2.1.1
2021;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;Execution;Operatives;;;Homme;Male;3335.0;€;€;§2.1.2
2021;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDI;Permanent non-statutory;Cadre;Managers;;;Femme;Female;8852.0;€;€;§2.1.2
2021;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDD;Fixed-term non-statutory;Cadre;Managers;;;Femme;Female;3312.0;€;€;§2.1.2
2021;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDD;Fixed-term non-statutory;Maitrise;Supervisors;;;Homme;Male;1351.0;€;€;§2.1.2
2021;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDD;Fixed-term non-statutory;Execution;Operatives;;;Homme;Male;1104.0;€;€;§2.1.2
2021;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDD;Fixed-term non-statutory;Execution;Operatives;;;Femme;Female;1144.0;€;€;§2.1.2
2021;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;B;B;Femme;Female;7258.0;€;€;§2.1.2.bis
2021;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;D;D;Homme;Male;5414.0;€;€;§2.1.2.bis
2021;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;G;G;Femme;Female;3368.0;€;€;§2.1.2.bis
2021;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Statutaire;Statutory;;;sans plage;No classification;Femme;Female;6426.0;€;€;§2.1.2.bis
2021;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDI;Permanent non-statutory;;;sans plage;No classification;Homme;Male;11205.0;€;€;§2.1.2.bis
2021;EDF SA;France;France;Rémunération mensuelle moyenne brute;Average gross monthly salary;Non statutaire CDD;Fixed-term non-statutory;;;sans plage;No classification;Femme;Female;1390.0;€;€;§2.1.2.bis
